,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0,RMSLE
0,99.9999999999759,1200000.0,1.0000000000000018e-08,99.99999999645681,102341.91022422165,0.9999999999999639,122024.42630119994,946546.4,25.0,3.879295728215183
1,99.99999999931727,1200000.0,1.3738237958832657e-08,99.99999999622408,566312.7434270829,0.34389822856583663,154878.2954575792,946546.4,25.0,3.7525562497595524
2,4.309096160366103,1200000.0,1.8873918221351015e-08,2.1334951049861104,19371.804925844073,0.3178857415723161,1345808.2965685637,946546.4,25.0,3.4808222098372608
3,4.401187373771798,1200000.0,2.5929437974046743e-08,1.7701672301730014,18996.56048348546,0.29263597945128256,1385328.2898545302,946546.4,25.0,3.204746926982768
4,4.567230288731736,1200000.0,3.562247890262453e-08,1.5288817856344323,19175.000815451145,0.26846377144290307,1374781.416184822,946546.4,25.0,2.927561662476741
5,4.7518293119938235,1200000.0,4.8939009184775094e-08,1.3395273619238637,19533.42341630906,0.24576930050361406,1348756.3605110757,946546.4,25.0,2.6527574968095933
6,4.920206037884562,1200000.0,6.723357536499336e-08,1.1775908404180129,19788.179689735174,0.22488721386806654,1326149.3329608166,946546.4,25.0,2.3839185465006696
7,5.047347399144456,1200000.0,9.236708571873864e-08,1.0294809469793407,19411.765674076974,0.20610910904592422,1318225.2225820483,946546.4,25.0,2.12505345420104
8,5.111132200624688,1200000.0,1.2689610031679227e-07,0.890184131678069,17985.647530831397,0.18946350207489027,1334260.5447523822,946546.4,25.0,1.8806714362449453
9,5.116710280912436,1200000.0,1.7433288221999894e-07,0.7585029096246174,15258.76188530773,0.17478244815169147,1377402.848062011,946546.4,25.0,1.6557968171764974
10,5.086837674935261,1200000.0,2.395026619987488e-07,0.6385414113723087,11740.96261883527,0.16154788631927047,1447528.6497114012,946546.4,25.0,1.4560430195110206
11,5.038435157414469,1200000.0,3.2903445623126725e-07,0.5370181987741489,8608.109876476228,0.14853900911028756,1546350.3994913641,946546.4,25.0,1.2876562380191003
12,4.979637896416335,1200000.0,4.52035365636025e-07,0.4545138102527204,6387.715819902718,0.13455857531331167,1685253.4030811857,946546.4,25.0,1.1566262054793974
13,4.923726964840576,1200000.0,6.210169418915627e-07,0.38782389804338635,4997.501906849444,0.11830212575610277,1890358.7963953596,946546.4,25.0,1.0658143413655736
14,4.874712743772818,1200000.0,8.531678524172826e-07,0.33596762511658795,4141.883366070688,0.1013801924481541,2248036.142661794,946546.4,25.0,1.0119563893337944
15,4.876394329925702,1200000.0,1.1721022975334808e-06,0.30156156372508036,3595.1950024217367,0.08884772114841472,2990823.9209704753,946546.4,25.0,0.9862491428855279
16,5.091140240006112,1200000.0,1.6102620275609406e-06,0.27658165250149835,3149.145089484751,0.0781264956078086,4427899.944217559,946546.4,25.0,0.9793995959941021
17,5.598732225833139,1200000.0,2.2122162910704516e-06,0.246787423616027,2509.8735866844654,0.06339393528358855,7391096.301619146,946546.4,25.0,0.9890756475073782
18,6.462604117646798,1200000.0,3.0391953823131964e-06,0.1972949849536363,1811.9646644741297,0.03514837511718555,9999999.848398164,946546.4,25.0,1.0202337629945488
19,7.675049002402488,1200000.0,4.175318936560401e-06,0.1465499170592679,1218.6734418943524,0.0009256122565230451,9999999.94506922,946546.4,25.0,1.0774726017124168
20,9.603001161894113,1200000.0,5.73615251044868e-06,0.10615277095391917,69.37084535509348,0.00010000012638555766,9999999.975615064,946546.4,25.0,1.1588763454552211
21,11.962376344446135,1200000.0,7.880462815669915e-06,0.08371835786858384,10.0,0.00010000000397114572,9999999.993986994,946546.4,25.0,1.2559706521118301
22,14.94799067831385,1200000.0,1.0826367338740554e-05,0.06645922475920685,10.000000178813934,0.00010000000017568178,9999999.99925587,946546.4,25.0,1.373077847234887
23,18.949439925520707,1200000.0,1.487352107293513e-05,0.051699403910554054,10.0,0.00010000000188842284,9999999.99878402,946546.4,25.0,1.4949689019758137
24,24.362150973061272,1200000.0,2.0433597178569445e-05,0.03947509087599599,10.000000335276127,0.00010000001208138043,9999999.890436713,946546.4,25.0,1.612400020567922
25,31.736141484400793,1200000.0,2.8072162039411814e-05,0.029674819775969752,10.000000767409801,0.00010000017307648656,9999999.803679671,946546.4,25.0,1.721397228855618
26,41.82515755083024,1200000.0,3.856620421163472e-05,0.02204194411090299,10.000000320374966,0.00010000000059695591,9999999.864855625,946546.4,25.0,1.8214180045590052
27,55.65996992372059,1200000.0,5.2983169062837105e-05,0.016236594458717946,10.00000000745058,0.00010000000123883135,9999999.99523788,946546.4,25.0,1.9138199252345178
28,74.65039692816494,1200000.0,7.278953843983155e-05,0.011899802333473986,10.00000000745058,0.00010000000087628802,9999999.998578645,946546.4,25.0,2.00074577883019
29,99.99999999995045,1200000.0,0.00010000000000000009,0.007884376636695833,39.54622767865658,0.00010000000103904672,9999999.999797199,946546.4,25.0,2.0974925017615815
