Age Group,DPI,CD8+ per g/tissue
Adult,0,885768
Adult,0,990930
Adult,0,701114
Adult,0,1149200
Adult,0,1005720
Adult,1,490178
Adult,1,565760
Adult,1,154016.6225
Adult,2,1048135
Adult,2,605880
Adult,2,1358300
Adult,2,1009800
Adult,2,525300
Adult,3,698530
Adult,3,584970
Adult,3,803250
Adult,3,770100
Adult,5,1250146
Adult,5,2270180
Adult,5,1922496
Adult,5,1989510
Adult,5,2468400
Adult,5,2292450
Adult,7,3809088
Adult,7,2974728
Adult,7,2684640
Adult,7,4504320
Adult,7,3401700
Adult,7,3284400
Adult,9,7084512
Adult,9,5992602
Adult,9,4141200
Adult,9,6217920
Adult,9,5576340
Adult,9,3549600
Adult,9,6658560
Adult,9,4751670
Adult,9,4082040
Adult,11,3502272
Adult,11,2418352
Adult,11,1910868
Adult,11,4928640
Adult,11,3236800
Adult,11,2254200
Adult,11,4014720
Adult,11,3444880
Adult,11,2063460
Adult,15,1420146
Adult,15,2016030
Adult,15,2375750
Adult,15,1942794
Adult,15,2323560
Adult,15,2019940
Adult,15,1660050
Adult,15,2195992
Adult,15,1827670
Adult,19,2447388
Adult,19,1773100
Adult,19,2428960
Adult,19,2953240
Adult,19,2146760
Adult,19,2790720
Adult,19,2280720
Adult,19,1668380
Adult,19,2374696
Aged,0,418948
Aged,0,715836
Aged,0,297500
Aged,1,401880
Aged,1,362394.6667
Aged,1,546040
Aged,1,497578.6667
Aged,2,417163
Aged,2,601426
Aged,2,813433
Aged,2,1090210
Aged,2,805511
Aged,2,605812
Aged,3,888386
Aged,3,531420
Aged,3,1463700
Aged,3,1597320
Aged,3,982260
Aged,3,2216460
Aged,5,367200
Aged,5,640356
Aged,5,985660
Aged,5,1088000
Aged,5,1038020
Aged,5,779025
Aged,7,1879248
Aged,7,1305124
Aged,7,2068220
Aged,7,5017720
Aged,7,2011440
Aged,7,2187900
Aged,9,958902
Aged,9,1224000
Aged,9,2089470
Aged,9,5774900
Aged,9,3293750
Aged,9,3207900
Aged,11,6168892
Aged,11,2796024
Aged,11,6794322
Aged,15,8260300
Aged,15,3734968
Aged,19,4978314
Aged,19,4052358
