Model,Adult AICc,Aged AICc
MA1,-48.927292716216094,63.337905828905114
MA2,-47.21846272904212,28.56538049450372
MA3,-49.06368991687101,65.50872820333366
MA4,-48.02553510973694,30.78643853075277
MB1,18.619986673698357,-1.124911898331245
MB2,20.8904840197202,1.067893511144696
MB3,14.388369562046341,19.931669365157475
MB4,16.614005272376154,3.342874354681147
MC1,15.786881720890573,58.95300953619506
MC2,1.9146202247021735,30.963608048798633
MC3,17.969464683475348,61.00140398314928
MC4,4.1479273506739816,33.15260480547357
MD1,18.45702348252774,18.849945018199485
MD2,20.61444964844658,26.87442349247034
MD3,17.55895096287952,28.635764668358263
MD4,19.750128465141586,29.09551997026479
