,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,11.600000000000001,137474.80113304648,33446713.564383578
1,11.768119524349984,11.700000000000001,138553.96292421612,32446502.15419023
2,13.848863713938732,11.700000000000001,139693.0128050688,31855832.04400146
3,16.297508346206442,11.8,140889.7901650799,30863907.8970529
4,19.179102616724887,11.8,142137.7147027477,30274621.27379804
5,22.570197196339205,11.9,143434.01066682316,29295629.908654634
6,26.560877829466868,11.9,144771.91666603775,28710265.22122939
7,31.25715849688235,12.0,146148.90034752988,27747944.173418507
8,36.783797718286344,12.100000000000001,147559.68872217674,26797732.14794395
9,43.28761281083057,12.100000000000001,148999.56586695387,26225616.76885268
10,50.9413801481638,12.200000000000001,150467.21375517602,25296288.274504572
11,59.94842503189409,12.3,151958.88904194118,24381224.115308713
12,70.54802310718642,12.3,153471.41518554563,23825112.725183968
13,83.02175681319744,12.4,155005.11063666586,22933233.81977616
14,97.70099572992251,12.5,156557.75868810617,22056778.667848855
15,114.97569953977356,12.600000000000001,158128.63308962746,21196052.29621947
16,135.30477745798075,12.700000000000001,159717.42403642024,20351286.16354906
17,159.22827933410923,12.8,161324.21682354104,19522649.827539463
18,187.3817422860383,12.9,162949.46445469497,18710268.718564425
19,220.51307399030455,13.0,164593.980468121,17914235.867449485
20,259.5024211399737,13.100000000000001,166258.9282403302,17134614.13648819
21,305.3855508833416,13.200000000000001,167945.8267950104,16371454.570363965
22,359.38136638046257,13.3,169656.56620895563,15624789.93282901
23,422.9242874389499,13.4,171393.43130675273,14894651.67413684
24,497.70235643321087,13.600000000000001,173160.17296689807,13928688.528132979
25,585.7020818056661,13.700000000000001,174957.94814803623,13239644.693807043
26,689.2612104349695,13.9,176792.4796794621,12330683.632989626
27,811.1308307896873,14.0,178666.04924013984,11682883.83683233
28,954.5484566618337,14.200000000000001,180585.61772725912,10831144.278801434
29,1123.3240329780276,14.4,182555.8130777235,10012052.927603707
30,1321.9411484660286,14.600000000000001,184583.1004348794,9225656.913635919
31,1555.6761439304723,14.8,186674.80829367615,8471995.743330123
32,1830.7382802953678,15.0,188839.23705093283,7751103.190411616
33,2154.4346900318824,15.3,191086.75894916552,6882049.894793749
34,2535.3644939701117,15.5,193425.82400611456,6234679.194864482
35,2983.6472402833374,15.8,195870.14970230227,5454917.163577351
36,3511.191734215131,16.1,198431.63239660428,4723626.9816508675
37,4132.0124001153345,16.5,201125.47935117767,3891061.8829850536
38,4862.601580065353,16.8,203965.09669933195,3263949.7566963136
39,5722.367659350214,17.2,206969.07074270624,2550409.1734620356
40,6734.150657750822,17.6,210153.9412771107,1899441.7996834465
41,7924.82898353917,18.1,213539.00435710698,1191175.3313076675
42,9326.0334688322,18.6,217141.82605459282,558548.8446080976
43,10974.987654930545,19.0,220979.70723419517,104421.88737433022
44,12915.496650148827,19.0,225065.24866021445,97268.34661213687
45,15199.11082952933,19.0,229416.13181050445,90272.65234611265
46,17886.495290574352,19.0,234043.01543940132,83456.03176528183
47,21049.04144512022,19.0,238951.57127504237,76840.85380102736
48,24770.76355991709,19.0,244140.9057258232,70450.18237905465
49,29150.53062825176,19.0,249601.9649846754,64307.19588007452
50,34304.692863149125,19.0,255316.09523349704,58434.47775298558
51,40370.1725859655,19.0,261253.97539319066,52853.20406320986
52,47508.101621027934,19.0,267375.17213618255,47582.27065763686
53,55908.10182512223,19.0,273628.53235949203,42637.42146691008
54,65793.32246575682,19.0,279953.5730615217,38030.4540616347
55,77426.36826811278,19.0,286282.8764943362,33768.58339757639
56,91116.27561154887,19.0,292545.3349818279,29854.038081826864
57,107226.72220103232,19.0,298669.92589597893,26283.940172047576
58,126185.6883066021,19.0,304589.58779295994,23050.486639115927
59,148496.82622544636,19.0,310244.72241969936,20141.41152462566
60,174752.8400007683,19.0,315585.94616999786,17540.673246280978
61,205651.23083486516,19.0,320575.82272169477,15229.288034879335
62,242012.82647943834,19.0,325189.5132074653,13186.223329661601
63,284803.5868435799,19.0,329414.4266865894,11389.270695770754
64,335160.2650938841,19.0,333249.07624973095,9815.836178186362
65,394420.6059437656,19.0,336701.40870682115,8443.607420325874
66,464158.8833612772,19.0,339786.86714976514,7251.079090803536
67,546227.7217684337,19.0,342526.41374035727,6217.935800989427
68,642807.311728432,19.0,344944.6908737398,5325.304630242382
69,756463.3275546291,19.0,347068.4098961253,4555.896327774151
70,890215.0854450375,19.0,348925.03271738207,3894.057280258852
71,1047615.7527896641,19.0,350541.74511566974,3325.7539301378656
72,1232846.7394420658,19.0,351944.7098057986,2838.509132784512
73,1450828.7784959401,19.0,353158.55573562643,2421.306883373199
74,1707352.6474706887,19.0,354206.06675329444,2064.478370161727
75,2009233.0025650458,19.0,355108.02359950315,1759.5793389433995
76,2364489.412645407,19.0,355883.163717958,1499.2659129850335
77,2782559.402207126,19.0,356548.22028959874,1277.1738123834075
78,3274549.162877725,19.0,357118.02190893056,1087.8041957611567
79,3853528.5937105273,19.0,357605.62116220116,926.4180193435692
80,4534878.5081285825,19.0,358022.4450532567,788.9397931902612
81,5336699.231206302,19.0,358378.451283681,671.8710412978661
82,6280291.441834247,19.0,358682.2840339368,572.2132199575426
83,7390722.033525775,19.0,358941.42259978515,487.39962666150535
84,8697490.026177835,19.0,359162.3194397145,415.23563462340974
85,10235310.218990248,19.0,359350.53019830585,353.84651234695343
86,12045035.402587812,19.0,359510.828169108,301.63206693471875
87,14174741.629268048,19.0,359647.3042079618,257.22736152602596
88,16681005.372000592,19.0,359763.4672170507,219.4687928710948
89,19630406.500402685,19.0,359862.3151094137,187.36487774783166
90,23101297.00083158,19.0,359946.41157658445,160.07113890221228
91,27185882.427329402,19.0,360017.9455252822,136.86856135143898
92,31992671.377973843,19.0,360078.78374108695,117.14513467397192
93,37649358.06792463,19.0,360130.5191418807,100.38005930798245
94,44306214.575838774,19.0,360174.508659777,86.13024857343407
95,52140082.87999684,19.0,360211.9088044116,74.01880050195032
96,61359072.734131634,19.0,360243.7039745649,63.725161839730575
97,72208090.18385457,19.0,360270.73224466713,54.97673904203111
98,84975343.59086438,19.0,360293.7070192371,47.54174872766598
99,100000000.0,19.0,360313.2355839188,41.223126556881475
